image_name,squared l2 distance
44713_01,0.08742759795674872
44954_01,0.1584790038556756
45152_01,0.04388401778993541
45166_01,0.14429762210817984
45181_01,0.06229454746248067
45279_01,0.10406558531489973
45310_01,0.2812811061137417
45343_01,0.5681579763588517
45377_01,0.18988126263824046
46028_01,0.49341171538033635
46149_01,0.02142171091371995
46190_01,0.29040947716785803
46437_01,0.037876782427249726
46476_01,0.02352942991734449
46712_01,0.04417119140211318
46743_01,0.09483136462418477
46893_01,0.07590670067163305
46904_01,0.064047309670781
47284_01,0.10240954957529064
47316_01,0.283333753805201
47349_01,0.14998519272207889
47494_01,0.2020433578711148
47563_01,0.23742236220629764
47589_01,0.05173770837442701
47594_01,0.025183001878920197
47616_01,0.13100105346650986
47648_01,0.023037396155533896
47871_01,0.05017124315893899
48082_01,0.2700715907687306
48242_01,0.04265549050295808
48631_01,0.1266371426806594
48689_01,0.09583275925327145
48751_01,0.05657794322739826
48768_01,0.03431195359232992
48785_01,0.49980597279207484
48981_01,0.034910911416899226
49055_01,0.28916350040169386
49854_01,0.018830340037605364
49874_01,0.11350400757202903
50231_01,0.1530646046241579
50326_01,0.07227904271722929
50373_01,0.09903692712416803
50621_01,0.10405054851666226
50803_01,0.12517111850096146
51094_01,0.07517936416740265
51534_01,0.21500439417852174
51790_01,0.030779675273319502
52390_01,0.1373591857124264
52441_01,0.07564874320061739
52454_01,0.07124055259478596
53018_01,0.12513761108982643
53416_01,0.15577422474834546
53583_01,0.05281622161998947
53677_01,0.10170865582474722
53801_01,0.042479590996665054
53846_01,0.053495540011980314
54119_01,0.09629776800949325
54446_01,0.2732576789010235
54670_01,0.08650941177878346
54671_01,0.19741259811890632
54842_01,0.03495878444266258
54866_01,0.03349482110828855
55301_01,0.05023259246424753
55506_01,0.07599331882740584
55556_01,0.12023427066705004
55607_01,0.28295531826162973
55802_01,0.2549104128221352
55874_01,0.10236257918259745
55948_01,0.05746810128151693
56063_01,0.20002564715507914
56258_01,0.08723000445570267
56833_01,0.26084785477560146
56889_01,0.07227887712135256
56941_01,0.1535584808535571
57260_01,0.18483399679941775
57418_01,0.15498557288608272
57442_01,0.08470921571855053
57599_01,0.10749728531268973
58033_01,0.3088485667773754
58489_01,0.039129719439384675
58636_01,0.18606206312833595
58766_01,0.026644071547636396
58805_01,0.06445740330913417
58970_01,0.05595771670538137
59077_01,0.5573224902565295
59181_01,0.24733797057134194
59271_01,0.08189145217517192
59312_01,0.11449604969879647
59489_01,0.1901733575905768
59589_01,0.13705787644038409
59658_01,0.10211565214009406
59758_01,0.0685324671729582
60015_01,0.06676546046293368
60512_01,0.2697540521816153
61464_01,0.088466645933871
61975_01,0.03418035602217363
62672_01,0.057813000084513
62919_01,0.04135762740478549
63504_01,0.13588846667209548
63535_01,0.1387895528118523
63820_01,0.05688421805331145
63996_01,0.20034752292705493
64239_01,0.03070772779127952
64496_01,0.10443282483886156
64594_01,0.06131945771022581
64778_01,0.04584832749122333
64920_01,0.08409425046274581
65038_01,0.1302085981303525
65306_01,0.28269368409579987
65531_01,0.07528619904112577
66269_01,0.04736109064663521
66570_01,0.04913823273096966
66584_01,0.0385659725055591
66627_01,0.0879033268867613
66653_01,0.13833895503756066
66675_01,0.08878093104347609
66855_01,0.0832759866349925
66915_01,0.4937510076826747
66991_01,0.12084821725972858
67056_01,0.14702481762738795
67283_01,0.14028454099041734
67319_01,0.10909196339601174
67565_01,0.10186133395308065
67853_01,0.054817004792083165
68103_01,0.18955418313338104
68422_01,0.057700220772730376
68441_01,0.018351719428542385
68648_01,0.1637532712238653
68672_01,0.03784850698910306
68787_01,0.10003052541004476
68919_01,0.045521636663600186
69208_01,0.08094997669123281
69277_01,0.12855302710696173
69444_01,0.10904251338260051
69604_01,0.09394575833469859
69639_01,0.04706609549868163
69655_01,0.13276344594250186
69662_01,0.13885202841952407
69994_01,0.06095583706513035
